type,front,back
kanji,一,NHẤT
kanji,二,NHỊ
kanji,三,TAM
kanji,四,TỨ
kanji,五,NGŨ
kanji,六,LỤC
kanji,七,THẤT
kanji,八,BÁT
kanji,九,CỬU
kanji,十,THẬP
kanji,百,BÁCH
kanji,千,THIÊN
kanji,万,VẠN
kanji,円,VIÊN
kanji,年,NIÊN
kanji,時,THỜI
kanji,間,GIAN
kanji,曜,"2. Con Người, Gia Đình & Cơ Thể"
kanji,人,NHÂN
kanji,男,NAM
kanji,女,NỮ
kanji,子,TỬ
kanji,父,PHỤ
kanji,母,MẪU
kanji,友,HỮU
kanji,私,TƯ
kanji,名,DANH
kanji,口,KHẨU
kanji,目,MỤC
kanji,足,TÚC
kanji,体,THỂ
kanji,頭,"3. Phương Hướng, Vị Trí & Nơi Chốn"
kanji,上,THƯỢNG
kanji,下,HẠ
kanji,中,TRUNG
kanji,右,HỮU
kanji,左,TẢ
kanji,東,ĐÔNG
kanji,西,TÂY
kanji,南,NAM
kanji,北,BẮC
kanji,外,NGOẠI
kanji,駅,DỊCH
kanji,店,ĐIẾM
kanji,社,XÃ
kanji,道,ĐẠO
kanji,地,ĐỊA
kanji,場,4. Động Từ & Hành Động
kanji,行,HÀNH
kanji,来,LAI
kanji,見,KIẾN
kanji,食,THỰC
kanji,飲,ẨM
kanji,買,MÃI
kanji,聞,VĂN
kanji,読,ĐỘC
kanji,書,THƯ
kanji,話,THOẠI
kanji,言,NGÔN
kanji,思,TƯ
kanji,寝,TẨM
kanji,終,CHUNG
kanji,知,TRI
kanji,降,GIÁNG
kanji,会,HỘI
kanji,動,ĐỘNG
kanji,歩,BỘ
kanji,走,TẨU
kanji,止,CHỈ
kanji,通,THÔNG
kanji,開,KHAI
kanji,閉,BẾ
kanji,立,LẬP
kanji,座,TỌA
kanji,入,NHẬP
kanji,出,XUẤT
kanji,持,TRÌ
kanji,待,ĐÃI
kanji,作,TÁC
kanji,使,SỬ
kanji,着,TRƯỚC
kanji,売,MẠI
kanji,住,TRÚ
kanji,死,TỬ
kanji,借,TÁ
kanji,投,ĐẦU
kanji,打,ĐẢ
kanji,勝,THẮNG
kanji,負,PHỤ
kanji,答,"5. Học Tập, Cuộc Sống & Khái Niệm"
kanji,学,HỌC
kanji,校,HIỆU
kanji,語,NGỮ
kanji,英,ANH
kanji,勉,MIỄN
kanji,強,CƯỜNG
kanji,電,ĐIỆN
kanji,気,KHÍ
kanji,車,XA
kanji,物,VẬT
kanji,事,SỰ
kanji,仕,SĨ
kanji,料,LIỆU
kanji,理,LÝ
kanji,肉,NHỤC
kanji,鳥,ĐIỂU
kanji,魚,NGƯ
kanji,寺,TỰ
kanji,建,KIẾN
kanji,景,CẢNH
kanji,色,SẮC
kanji,眠,MIÊN
kanji,説,THUYẾT
kanji,明,MINH
kanji,番,PHIÊN
kanji,号,HIỆU
kanji,同,ĐỒNG
kanji,若,NHƯỢC
kanji,配,PHỐI
kanji,以,DĨ
kanji,心,TÂM
kanji,意,Ý
kanji,味,VỊ
kanji,注,CHÚ
kanji,夏,HẠ
kanji,広,QUẢNG
kanji,転,CHUYỂN
kanji,漢,HÁN
kanji,字,TỰ
kanji,病,BỆNH
kanji,院,VIỆN
kanji,薬,DƯỢC
kanji,試,THÍ
kanji,験,NGHIỆM
kanji,質,CHẤT
kanji,問,VẤN
kanji,題,ĐỀ
kanji,用,DỤNG
kanji,紙,CHỈ
kanji,議,NGHỊ
kanji,無,VÔ
kanji,対,ĐỐI
kanji,絶,TUYỆT
kanji,礼,LỄ
kanji,席,TỊCH
kanji,確,XÁC
kanji,発,PHÁT
kanji,表,BIỂU
